ASN|CC|AS_Name
10221|AU|HEWLETT-PACKARD Multi-homed connections to multiple ISP's providing
10222|HK|MITL-HK Multibyte Info Technology Limited
10223|AU|UECOMM-AU Uecomm Ltd
10225|IN|NETTLINX-IN-AP Nettlinx Limited
10226|LA|ETL-IX-AS-AP Enterprise of Telecommunications Lao
10227|TH|SUANDUSIT Institute Rajabhat Suandusit
10229|TW|YAHOO-TW1 Internet Content Provider
10230|SG|YAHOO-SG internet content provider
10231|HK|TECHTRANS-AP Tech-trans System Ltd.
10232|HK|HUTPLHK-AS-AP Hutchison Priceline
10234|AU|ZURICH-AUSTRALIA-AS-AP Zurich Financial Services Australia
10235|AU|NAB-AS-AP National Australia Bank Limited
10238|HK|CCI-HK-AP Cyber Channel International Ltd
10240|US|MOTLEYFOOL - The Motley Fool, Inc.
10242|US|USINTERNET - US Internet Corp
10248|US|BAY-BANKS-OF-VA - BAY BANKS OF VIRGINIA
10249|US|REDZONE - RedZone Wireless, LLC
10250|US|INET-SOLUTIONS - INet Solutions
10255|US|SINISTER - Sinister Networks
10259|US|BLUEMOON - Blue Moon Online System
10264|CA|SCOTIACAPTIAL - Scotia McLeod Inc.
10265|CA|SENECACOLLEGE-AS - Seneca College of Applied Arts and Technology
10269|BZ|Belize Telemedia Limited
10271|US|MEGANET-TCIX - Meganet Communications
10273|US|FPL - Florida Power & Light Company
10274|US|EXCELNET - Excel.Net, Inc.
10277|AR|Ministerio de Cultura y Educacion
10278|BB|CWWI-AS - Cable & Wireless (Barbados) Limited
10279|US|WCCL-AS - West Carolina Communications, LLC
10282|US|DIALIP-PR - GLOBAL ONE
10286|US|GLBIX-STLSMO-WP - TIESoft Internet Marketing Ltd.
10292|JM|CWJ-1 - Cable & Wireless Jamaica
10294|US|CCCD-AS - Coast Community College District
10297|US|ENET-2 - eNET Inc.
10298|US|AS10298 - CACI Inc., Federal
10299|CO|EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.
102|US|NSF-HQ-AS - National Science Foundation
10302|US|NEGIA-NET - SNAPPYDSL.NET
10308|US|NEIUNET - Northeastern Illinois University
10309|US|MARIN-MIDAS - County of Marin
10310|US|YAHOO-1 - Yahoo!
10317|US|CUCINT - Cuc International
10318|AR|CABLEVISION S.A.
10320|US|ISPN - Internet Services Provider Network
10322|US|ERCOT-ISO - Ercot Independent System Operations
10325|US|INGRAMMICRO - Ingram Micro Inc.
10326|US|WPI - Worcester Polytechnic Institute
10329|CA|INFOSHARE - CoreLAN Communications, Inc.
10333|US|DIGITALINSIGHT - Digital Insight Corporation
10337|US|IBMAS400DIV - IBM AS/400 Division
10340|US|TELE-TECH - TELE-TECH CO. INC.
10343|US|AS10343 - National Aeronautics and Space Administration
10347|US|RANDMCNALLY - Rand McNally
10348|US|HTDC - High Technology Development Corporation
10349|US|TULANE - Tulane University
10352|US|WCTC - Solarus
10355|US|DSCGA - Digital Service Consultants
10357|US|JMUNET - James Madison University
10359|US|EPICSYS - Epic Systems Corporation
10361|US|BLOOMBERG-NET - Bloomberg, LP
10362|BR|UBIK DO BRASIL SOL TECNOLOGIA LTDA.
10364|US|UAHNET - University of Alabama in Huntsville
10367|US|METRO2000 - Fibercast Corporation
10370|US|NORTHWEST-AIRLINES - Northwest Airlines
10377|US|SOUNDCHOICE - Sound Choice Communications LLC
10379|US|DELUXE - Deluxe Corporation
10381|US|SWCP-AS - Southwest Cyberport, Inc.
10384|US|TVA - Tennessee Valley Authority
10386|US|IC-ASN - VoyageurWeb
10388|BM|ONEUNIFIED - NETinc
10390|US|TELECHECK - TeleCheck International, Inc.
10391|PA|InteRED Panama
10392|US|NSB1-NET - New Source Broadband
10393|ZA|OPTINET
10396|PR|COQUI-NET - DATACOM CARIBE, INC.
10397|US|MOMENTUM - SinglePipe LLC
103|US|NWU-AS - Northwestern University
10400|CA|THETORONTOSTAR - Toronto Star
10405|US|UPRR-ASN-01 - Union Pacific Railroad Company
10406|US|ASN-TEKTRONIX - Tektronix, Inc.
10411|US|ESRI - Environmental Systems Research Institute
10412|BR|CIA. DE TECNOL. DA INFOR. E COMUNICAÇÃO DO PARANÁ
10417|BR|Fundação de Desenvolvimento da Pesquisa
10420|MX|Banco de Mexico
10421|US|TTUNET - Texas Tech University
10423|US|SPARTAN-NET - Spartan-Net
10425|US|AWG-BOS - Advanced Wireless Group, LLC
10429|BR|Telefonica Data S.A.
10430|US|WA-K20 - Washington State K-20 Telecommunications Network
10431|US|EDGENETWORKS - Edge IT, LLC
10434|US|SAT-TEL - Satellite Communication Systems, Inc.
10436|MX|Instituto Tecnológico y de Estudios Superiores de Monterrey
10439|US|CARINET - CariNet, Inc.
10440|US|MERKLE-INC - Merkle Inc.
10441|US|CH2M - CH2M HILL
10442|US|ED-GOV - Department of Education
10444|US|ZB NATIONAL ASSOCIATION - ZB, National Association
10445|US|HTG - Huntleigh Telcom
10446|US|AMIGO-NET - Zero Error Networks
10448|US|VILLANOVA-UNIV - Villanova University
10451|US|WARPDRIVE - Warpdrive Networks
10452|AR|FritzWare S.R.L.
10453|US|CNIWEB - CREATIVE NETWORK INNOVATIONS, INC.
10455|US|LUCENT-CIO - Alcatel-Lucent
10457|US|ILX-ASN - Thomson Reuters U.S. LLC
10461|US|EZE-CASTLE-SOFTWARE-LLC - Eze Castle Software LLC
10464|US|TEAMTECH - Team Technologies, LLC
10466|US|MAGPI - MAGPI c/o University of Pennsylvania
10469|US|FIRSTNET - FIRST Inc.
10474|ZA|OPTINET
10479|MX|Instituto Tecnológico y de Estudios Superiores de Monterrey
10480|US|RA-N002 - Rack Alley LLC
10481|AR|Prima S.A.
10488|US|TFM-ASN - tfm associates
10489|US|SMSTV-AS - Satellite Management Services, Inc.
10490|US|SOUTHERN-CROSSROADS-SOX - Georgia Institute of Technology
10493|US|GCN-AS - Grand Central Networks Inc.
10494|US|AAI - Accurate Automation, Inc.
10497|US|WORLDBANK - The World Bank Group
10499|US|IUMC-IT - Rochester Gas and Electric Corporation
104|US|COLORADO-AS - University of Colorado at Boulder
10507|US|SPCS - Sprint Personal Communications Systems
10508|US|UARK-FAYETTEVILLE - University of Arkansas
10511|US|COUNTRY-INSURANCE - CC Services, Inc
10517|US|MELLONBANK - Mellon Bank
10524|PR|GOYAD-02 - GOYA DE PUERTO RICO
10531|BR|Terra Networks Brasil S.A.
10532|US|RACKSPACE - Rackspace Hosting
10538|US|TELALASKA - TelAlaska
10545|US|LCOL - Lynchburg College
10546|US|MSSTATE - Mississippi State University
10547|US|FIREASN - Firebird Management LLC
10551|US|RAPID-CITY-REGIONAL - Rapid City Regional Hospital
10554|US|WESTERNU-POMONA - WESTERN UNIVERSITY OF HEALTH SCIENCES
10558|US|BIOLA---BIOLA-UNIVERSITY - Biola University, Inc.
10560|MX|Instituto Tecnológico y de Estudios Superiores de Monterrey
10561|US|BRANDEIS - Brandeis University
10564|US|TCSI - TCSI Corporation
10569|CU|Red CENIAInternet
10578|US|GIGAPOP-NE - Harvard University
10580|US|ARRIS-TECHNOLOGY-SD-NOC - ARRIS Technology, Inc.
10583|US|CHIME - Connecticut Hospital Assoc.
10584|US|TRADEWEB - TradeWeb, LLC
10586|GT|OSI de Guatemala
10587|US|FIBERPIPE - Fiberpipe Inc.
10594|US|CEC - Cutting Edge Communications, Inc.
10595|US|MAUSWERKS - Mauswerks, LLC.
10596|US|JETNET - Jet.Net Internet Services
10598|US|CIRR - Central Iowa (Model) Railroad
10599|US|MCKESSON - McKesson Corp.
10602|US|TDL - The Diamond Lane
10607|US|ETHERN - Global Communications INTERNETworking Corp.
10615|US|PAINEWEBBER-ASN - UBS AG
10616|US|NTIS - National Technical Information Service
10617|AR|SION S.A
10620|CO|Telmex Colombia S.A.
10625|US|IDC-RTS - Interactive Data RTS
10627|US|CP-AS-AS10627 - Critical Path Inc.
10631|US|GEORGIA-STATE - Georgia State University
10632|US|PSE-AS - Puget Sound Energy
