TLD,AbuseDomains,TotalDomainCount,abusePercent
mtr,2,3,0.6666666666666666
mit,2,3,0.6666666666666666
mutual,2,3,0.6666666666666666
lilly,2,3,0.6666666666666666
analytics,2,3,0.6666666666666666
pfizer,2,3,0.6666666666666666
pohl,2,3,0.6666666666666666
jmp,2,3,0.6666666666666666
ieee,2,3,0.6666666666666666
amica,2,3,0.6666666666666666
kinder,2,3,0.6666666666666666
natura,2,3,0.6666666666666666
adac,2,3,0.6666666666666666
able,2,3,0.6666666666666666
mov,1,2,0.5
gucci,3,6,0.5
ing,1,2,0.5
ads,1,2,0.5
aeg,1,2,0.5
grainger,2,4,0.5
accenture,1,2,0.5
hermes,2,4,0.5
esq,1,2,0.5
xn--mgba3a3ejt,1,2,0.5
goo,1,2,0.5
xn--mgba7c0bbn0a,1,2,0.5
xn--8y0a063a,1,2,0.5
meme,1,2,0.5
kerrylogistics,1,2,0.5
gbiz,1,2,0.5
everbank,2,4,0.5
ferrero,2,4,0.5
volkswagen,2,4,0.5
frontdoor,1,2,0.5
ford,2,4,0.5
lixil,1,2,0.5
fly,1,2,0.5
kuokgroup,1,2,0.5
rmit,2,4,0.5
boo,1,2,0.5
commbank,2,4,0.5
eat,1,2,0.5
rsvp,1,2,0.5
channel,1,2,0.5
prod,1,2,0.5
nokia,2,4,0.5
prof,1,2,0.5
citi,2,4,0.5
chintai,2,4,0.5
dad,1,2,0.5
raid,1,2,0.5
chrome,1,2,0.5
day,1,2,0.5
cuisinella,2,5,0.4
mattel,2,5,0.4
lanxess,2,5,0.4
zara,2,5,0.4
netbank,2,5,0.4
mtn,2,5,0.4
frogans,2,5,0.4
ki,197,549,0.3588342440801457
med,1,3,0.3333333333333333
skype,2,6,0.3333333333333333
wme,2,6,0.3333333333333333
forum,2,6,0.3333333333333333
lexus,1,3,0.3333333333333333
jio,2,6,0.3333333333333333
seven,2,6,0.3333333333333333
travelchannel,1,3,0.3333333333333333
nadex,1,3,0.3333333333333333
rwe,1,3,0.3333333333333333
ubank,1,3,0.3333333333333333
youtube,1,3,0.3333333333333333
schaeffler,2,6,0.3333333333333333
here,1,3,0.3333333333333333
temasek,2,6,0.3333333333333333
ismaili,2,6,0.3333333333333333
