ASN,CC,IP,numberOfIPs,abusePercent
12494,RU,12,25500,0.00047058823529411766
12496,GB,2,20400,9.80392156862745e-05
12499,RU,1,8160,0.00012254901960784314
12501,SE,1,122400,8.169934640522878e-06
12507,RU,60,4080,0.014705882352941175
12508,SK,1,8670,0.00011534025374855825
12513,GB,22,411060,5.352016737215978e-05
12519,GB,3,28560,0.00010504201680672271
12530,UA,9,178500,5.042016806722689e-05
12540,ES,1,8160,0.00012254901960784314
12543,RU,2,17085,0.0001170617500731636
12552,SE,27,311673,8.662925566218442e-05
12555,RU,1,5610,0.00017825311942958999
12566,FR,1,18870,5.299417064122947e-05
1257,EU,54,3238245,1.6675699337140947e-05
12570,CZ,5,57630,8.676036786395974e-05
12574,DE,3,8160,0.0003676470588235294
12576,GB,46,6945945,6.622568995291498e-06
12578,LV,78,485775,0.00016056816427358344
12586,DE,23,170085,0.0001352265043948614
12592,RO,2,510,0.0039215686274509795
12593,UA,4,12240,0.000326797385620915
12605,AT,10,156060,6.407791874919902e-05
12611,DE,4,36210,0.00011046672190002759
12615,BG,3,45645,6.572461386789353e-05
12616,RU,1,2550,0.000392156862745098
12618,PL,6,35425,0.00016937191249117854
12626,FR,1,123675,8.085708510208208e-06
12637,IT,3,87465,3.429943405933802e-05
12644,SI,5,81600,6.127450980392157e-05
12658,GB,1,8415,0.00011883541295306001
12659,FI,1,8160,0.00012254901960784314
12660,IR,1,24480,4.0849673202614376e-05
12663,IT,1,483225,2.0694293548553987e-06
12668,RU,12,143820,8.343763037129746e-05
1267,EU,176,6074100,2.897548608024234e-05
12670,FR,9,642090,1.401672662710835e-05
12683,RU,11,136170,8.078137622090035e-05
12687,UA,1,5610,0.00017825311942958999
12688,RU,7,35700,0.000196078431372549
12695,RU,25,169613,0.00014739436246042462
12700,UA,1,3060,0.000326797385620915
12701,GB,1,62985,1.5876796062554575e-05
12703,GB,5,81090,6.165988407941795e-05
12709,MT,6,288915,2.0767353719952234e-05
12714,RU,93,1089118,8.539019647090581e-05
12722,RU,10,37995,0.0002631925253322806
12727,FR,1,13260,7.541478129713424e-05
1273,EU,18,1475430,1.2199833268945324e-05
12730,RU,2,7905,0.0002530044275774826
12735,TR,46,148410,0.00030995215955798125
12737,RU,8,9435,0.0008479067302596715
12741,PL,59,1268961,4.649473072852514e-05
12754,PS,4,32385,0.00012351397251814109
12764,KG,43,11220,0.0038324420677361853
12767,CZ,1,67575,1.4798372179060306e-05
12768,RU,26,149175,0.00017429193899782134
12770,RU,2,1275,0.001568627450980392
12772,RU,16,123930,0.0001291051399983862
12775,GB,1,11220,8.912655971479499e-05
12779,IT,2,51255,3.90205833577212e-05
12793,AT,3,73185,4.099200655872105e-05
12796,BG,2,12674,0.00015780337699226762
1280,US,4,77010,5.194130632385404e-05
12810,HR,9,131835,6.826715212197065e-05
12812,LB,1,1275,0.000784313725490196
12816,DE,3,458745,6.5395808128698955e-06
12824,PL,32,203490,0.00015725588481006438
12829,BG,9,26520,0.0003393665158371041
12831,PL,1,18615,5.372011818426001e-05
12835,IT,1,11475,8.714596949891067e-05
12836,RU,1,3060,0.000326797385620915
12843,DE,3,121742,2.4642276289201755e-05
12846,RU,2,24225,8.25593395252838e-05
12849,IL,31,423300,7.323411292227736e-05
12850,IT,2,38250,5.22875816993464e-05
12859,NL,2,64515,3.1000542509493906e-05
12871,NL,6,118411,5.0670968068844957e-05
12872,UA,1,17347,5.7646855364039896e-05
12874,IT,198,3591420,5.51313964949797e-05
12876,FR,17682,411055,0.04301614139227111
12880,IR,4088,869040,0.004704041240909509
12883,UA,2,18105,0.00011046672190002759
12897,DE,5,114495,4.36700292589196e-05
1290,EU,65280,493425,0.13229974160206714
12905,SK,2,11730,0.00017050298380221653
12912,PL,10,648720,1.5414971019854487e-05
12925,RU,1,7650,0.00013071895424836605
12926,PT,1,74715,1.3384193267750785e-05
12929,NO,1,416160,2.402921953094964e-06
12946,ES,11,278460,3.950298067945127e-05
12958,RU,1,207570,4.817651876475406e-06
12963,UA,9,17085,0.0005267778753292363
12969,IS,1,326655,3.061333823146745e-06
12975,PS,44,197880,0.0002223569840307257
12978,TR,16,408000,3.9215686274509805e-05
12989,NL,60,105704,0.0005676227957314764
1299,EU,6,375105,1.5995521254048868e-05
12993,LV,6,29325,0.00020460358056265983
12996,NO,3,6120,0.0004901960784313724
12997,KG,47,82620,0.0005688695231178891
12998,UA,2,2359,0.0008478168715557441
13000,PL,5,51000,9.80392156862745e-05
13026,AT,1,1530,0.00065359477124183
13030,CH,41,95115,0.0004310571413552016
13036,CZ,9,299370,3.0063132578414674e-05
13037,GB,12,653820,1.8353675323483528e-05
13041,ES,6,310590,1.931807205640877e-05
13045,DE,7,173145,4.042854255104104e-05
13046,HR,7,135915,5.1502777471213625e-05
13056,RU,2,10200,0.000196078431372549
13078,RU,1,4080,0.00024509803921568627
13091,RS,2,48450,4.12796697626419e-05
13092,RS,2,72420,2.7616680475006903e-05
13095,RU,2,8160,0.00024509803921568627
13097,IT,3,19125,0.00015686274509803922
13099,AZ,2,8415,0.00023767082590612002
13101,DE,4,122145,3.2747963486020706e-05
13106,UA,1,9180,0.00010893246187363834
131090,Unknown,123,197115,0.0006240012175633512
